split_strategy,representation,model,validation_fold,train_rows,validation_rows,true_label,predicted_label,count
grouped,combined,logistic_regression_balanced,4,26295,8765,other_cyberbullying,age,15
grouped,combined,logistic_regression_balanced,4,26295,8765,other_cyberbullying,ethnicity,6
grouped,combined,logistic_regression_balanced,4,26295,8765,other_cyberbullying,gender,48
grouped,combined,logistic_regression_balanced,4,26295,8765,other_cyberbullying,not_cyberbullying,187
grouped,combined,logistic_regression_balanced,4,26295,8765,other_cyberbullying,other_cyberbullying,944
grouped,combined,logistic_regression_balanced,4,26295,8765,other_cyberbullying,religion,8
grouped,combined,logistic_regression_balanced,4,26295,8765,religion,age,2
grouped,combined,logistic_regression_balanced,4,26295,8765,religion,ethnicity,1
grouped,combined,logistic_regression_balanced,4,26295,8765,religion,gender,7
grouped,combined,logistic_regression_balanced,4,26295,8765,religion,not_cyberbullying,40
grouped,combined,logistic_regression_balanced,4,26295,8765,religion,other_cyberbullying,20
grouped,combined,logistic_regression_balanced,4,26295,8765,religion,religion,1525
random_stratified,combined,logistic_regression_balanced,1,26295,8765,age,age,1556
random_stratified,combined,logistic_regression_balanced,1,26295,8765,age,ethnicity,2
random_stratified,combined,logistic_regression_balanced,1,26295,8765,age,gender,1
random_stratified,combined,logistic_regression_balanced,1,26295,8765,age,not_cyberbullying,19
random_stratified,combined,logistic_regression_balanced,1,26295,8765,age,other_cyberbullying,13
random_stratified,combined,logistic_regression_balanced,1,26295,8765,age,religion,1
random_stratified,combined,logistic_regression_balanced,1,26295,8765,ethnicity,age,5
random_stratified,combined,logistic_regression_balanced,1,26295,8765,ethnicity,ethnicity,1551
random_stratified,combined,logistic_regression_balanced,1,26295,8765,ethnicity,gender,2
random_stratified,combined,logistic_regression_balanced,1,26295,8765,ethnicity,not_cyberbullying,11
random_stratified,combined,logistic_regression_balanced,1,26295,8765,ethnicity,other_cyberbullying,14
random_stratified,combined,logistic_regression_balanced,1,26295,8765,ethnicity,religion,1
random_stratified,combined,logistic_regression_balanced,1,26295,8765,gender,age,3
random_stratified,combined,logistic_regression_balanced,1,26295,8765,gender,ethnicity,0
