split_strategy,representation,model,validation_fold,train_rows,validation_rows,label,precision,recall,f1,support
random_stratified,combined,logistic_regression_balanced,4,26295,8765,age,0.9660284126003706,0.9817953546767106,0.9738480697384807,1593
random_stratified,combined,logistic_regression_balanced,1,26295,8765,ethnicity,0.9904214559386973,0.9791666666666666,0.9847619047619047,1584
random_stratified,combined,logistic_regression_balanced,2,26295,8765,ethnicity,0.9854338188727042,0.9823232323232324,0.9838760670249763,1584
random_stratified,combined,logistic_regression_balanced,3,26295,8765,ethnicity,0.9885786802030457,0.9835858585858586,0.9860759493670886,1584
random_stratified,combined,logistic_regression_balanced,4,26295,8765,ethnicity,0.9885714285714285,0.9829545454545454,0.9857549857549858,1584
random_stratified,combined,logistic_regression_balanced,1,26295,8765,gender,0.9290187891440501,0.8771353482260184,0.9023318688746198,1522
random_stratified,combined,logistic_regression_balanced,2,26295,8765,gender,0.9329971181556196,0.8508541392904073,0.8900343642611683,1522
random_stratified,combined,logistic_regression_balanced,3,26295,8765,gender,0.9320672023374726,0.8383705650459922,0.8827395364925631,1522
random_stratified,combined,logistic_regression_balanced,4,26295,8765,gender,0.937365010799136,0.8548916611950098,0.8942307692307693,1523
random_stratified,combined,logistic_regression_balanced,1,26295,8765,not_cyberbullying,0.6885113268608414,0.6737925574030087,0.6810724289715886,1263
random_stratified,combined,logistic_regression_balanced,2,26295,8765,not_cyberbullying,0.6965918536990856,0.6634996041171813,0.6796431467964315,1263
random_stratified,combined,logistic_regression_balanced,3,26295,8765,not_cyberbullying,0.682258064516129,0.669833729216152,0.6759888134238913,1263
random_stratified,combined,logistic_regression_balanced,4,26295,8765,not_cyberbullying,0.7278911564625851,0.6782884310618067,0.7022149302707137,1262
random_stratified,combined,logistic_regression_balanced,1,26295,8765,other_cyberbullying,0.706058339566193,0.7814569536423841,0.7418467583497053,1208
random_stratified,combined,logistic_regression_balanced,2,26295,8765,other_cyberbullying,0.6734837799717912,0.7899090157154673,0.7270650932622763,1209
random_stratified,combined,logistic_regression_balanced,3,26295,8765,other_cyberbullying,0.688086642599278,0.7882547559966915,0.7347725520431766,1209
random_stratified,combined,logistic_regression_balanced,4,26295,8765,other_cyberbullying,0.6842847075405215,0.8038079470198676,0.7392462885420632,1208
random_stratified,combined,logistic_regression_balanced,1,26295,8765,religion,0.9606598984771574,0.9486215538847118,0.9546027742749055,1596
random_stratified,combined,logistic_regression_balanced,2,26295,8765,religion,0.9596723377441714,0.954858934169279,0.957259585166562,1595
random_stratified,combined,logistic_regression_balanced,3,26295,8765,religion,0.9553459119496855,0.9523510971786834,0.9538461538461539,1595
random_stratified,combined,logistic_regression_balanced,4,26295,8765,religion,0.9684940138626339,0.9636363636363636,0.9660590823381521,1595
