preprocessing,model,validation_fold,train_rows,validation_rows,label,precision,recall,f1,support
p0,linear_svm,3,26295,8765,religion,0.932285368802902,0.9667711598746082,0.9492151431209603,1595
p0,linear_svm,4,26295,8765,religion,0.9339853300733496,0.9579937304075236,0.9458372021046115,1595
p0,logistic_regression,1,26295,8765,age,0.9474327628361858,0.9736180904522613,0.9603469640644362,1592
p0,logistic_regression,2,26295,8765,age,0.952,0.9717336683417085,0.9617656201429904,1592
p0,logistic_regression,3,26295,8765,age,0.9551872314303254,0.9767733835530445,0.9658597144630664,1593
p0,logistic_regression,4,26295,8765,age,0.9423423423423424,0.9855527638190955,0.9634633097942892,1592
p0,logistic_regression,1,26295,8765,ethnicity,0.9666666666666667,0.9703282828282829,0.9684940138626339,1584
p0,logistic_regression,2,26295,8765,ethnicity,0.9654522613065326,0.9703282828282829,0.9678841309823678,1584
p0,logistic_regression,3,26295,8765,ethnicity,0.9674185463659147,0.9747474747474747,0.9710691823899371,1584
p0,logistic_regression,4,26295,8765,ethnicity,0.9760705289672544,0.9785353535353535,0.9773013871374527,1584
p0,logistic_regression,1,26295,8765,gender,0.9237037037037037,0.8193166885676741,0.8683844011142061,1522
p0,logistic_regression,2,26295,8765,gender,0.9126984126984127,0.831143232588699,0.8700137551581844,1522
p0,logistic_regression,3,26295,8765,gender,0.9184549356223176,0.8436268068331143,0.8794520547945206,1522
p0,logistic_regression,4,26295,8765,gender,0.9151559100797679,0.8286277084701248,0.8697450034458993,1523
p0,logistic_regression,1,26295,8765,not_cyberbullying,0.6789473684210526,0.6133122028526149,0.6444629475437136,1262
p0,logistic_regression,2,26295,8765,not_cyberbullying,0.6541095890410958,0.6049089469517023,0.6285479226655697,1263
p0,logistic_regression,3,26295,8765,not_cyberbullying,0.699468085106383,0.6247030878859857,0.6599749058971142,1263
p0,logistic_regression,4,26295,8765,not_cyberbullying,0.6687612208258528,0.5898653998416469,0.6268405553218342,1263
p0,logistic_regression,1,26295,8765,other_cyberbullying,0.6570812365204889,0.7559966914805625,0.703076923076923,1209
p0,logistic_regression,2,26295,8765,other_cyberbullying,0.6451612903225806,0.7113316790736146,0.6766325727773407,1209
p0,logistic_regression,3,26295,8765,other_cyberbullying,0.6763609246830723,0.7508278145695364,0.7116516280894468,1208
p0,logistic_regression,4,26295,8765,other_cyberbullying,0.6449704142011834,0.7218543046357616,0.68125,1208
p0,logistic_regression,1,26295,8765,religion,0.9203860072376358,0.956140350877193,0.9379225568531039,1596
p0,logistic_regression,2,26295,8765,religion,0.9108970499698976,0.94858934169279,0.9293611793611793,1595
p0,logistic_regression,3,26295,8765,religion,0.9163179916317992,0.961128526645768,0.9381884944920441,1595
p0,logistic_regression,4,26295,8765,religion,0.913617276544691,0.954858934169279,0.9337829552421827,1595
p1,linear_svm,1,26295,8765,age,0.9495440729483283,0.9811557788944724,0.9650911337658326,1592
p1,linear_svm,2,26295,8765,age,0.9450151057401812,0.9824120603015075,0.9633507853403142,1592
p1,linear_svm,3,26295,8765,age,0.9534598897734231,0.9774011299435028,0.9652820830750155,1593
p1,linear_svm,4,26295,8765,age,0.9413524835427888,0.9880653266331658,0.9641434262948207,1592
p1,linear_svm,1,26295,8765,ethnicity,0.967601246105919,0.9804292929292929,0.9739730322985262,1584
p1,linear_svm,2,26295,8765,ethnicity,0.9725,0.9823232323232324,0.9773869346733668,1584
p1,linear_svm,3,26295,8765,ethnicity,0.9755944931163955,0.9842171717171717,0.9798868636077939,1584
p1,linear_svm,4,26295,8765,ethnicity,0.974422956955708,0.9861111111111112,0.9802321932852213,1584
p1,linear_svm,1,26295,8765,gender,0.9125177809388336,0.842969776609724,0.8763661202185792,1522
p1,linear_svm,2,26295,8765,gender,0.8988995873452544,0.8587385019710907,0.8783602150537635,1522
p1,linear_svm,3,26295,8765,gender,0.8954423592493298,0.8777923784494087,0.8865295288652952,1522
p1,linear_svm,4,26295,8765,gender,0.9111888111888112,0.855548260013132,0.8824923806298679,1523
p1,linear_svm,1,26295,8765,not_cyberbullying,0.6798964624676446,0.624405705229794,0.650970673275506,1262
p1,linear_svm,2,26295,8765,not_cyberbullying,0.6761819803746655,0.6001583531274742,0.6359060402684564,1263
p1,linear_svm,3,26295,8765,not_cyberbullying,0.6915555555555556,0.615993665874901,0.6515912897822446,1263
p1,linear_svm,4,26295,8765,not_cyberbullying,0.6684539767649688,0.5922406967537609,0.6280436607892528,1263
p1,linear_svm,1,26295,8765,other_cyberbullying,0.6724528301886793,0.7369727047146402,0.7032359905288083,1209
p1,linear_svm,2,26295,8765,other_cyberbullying,0.6537585421412301,0.7121588089330024,0.6817102137767221,1209
p1,linear_svm,3,26295,8765,other_cyberbullying,0.6806853582554517,0.7235099337748344,0.7014446227929374,1208
p1,linear_svm,4,26295,8765,other_cyberbullying,0.6615384615384615,0.7119205298013245,0.6858054226475279,1208
p1,linear_svm,1,26295,8765,religion,0.944,0.9611528822055138,0.9524992238435268,1596
p1,linear_svm,2,26295,8765,religion,0.9381953028430161,0.9517241379310345,0.9449112978524743,1595
p1,linear_svm,3,26295,8765,religion,0.9412124923453766,0.9636363636363636,0.9522924411400248,1595
p1,linear_svm,4,26295,8765,religion,0.9330085261875761,0.9605015673981191,0.946555452579549,1595
p1,logistic_regression,1,26295,8765,age,0.9517998779743746,0.9798994974874372,0.9656453110492108,1592
p1,logistic_regression,2,26295,8765,age,0.9503676470588235,0.9742462311557789,0.9621588089330024,1592
p1,logistic_regression,3,26295,8765,age,0.9577205882352942,0.9811676082862524,0.9693023255813954,1593
p1,logistic_regression,4,26295,8765,age,0.9424460431654677,0.9874371859296482,0.9644171779141104,1592
p1,logistic_regression,1,26295,8765,ethnicity,0.9740834386852086,0.9728535353535354,0.9734680985470625,1584
p1,logistic_regression,2,26295,8765,ethnicity,0.9741976085588421,0.9772727272727273,0.9757327450362433,1584
p1,logistic_regression,3,26295,8765,ethnicity,0.9779319041614124,0.9791666666666666,0.9785488958990536,1584
p1,logistic_regression,4,26295,8765,ethnicity,0.9811083123425692,0.9835858585858586,0.9823455233291298,1584
p1,logistic_regression,1,26295,8765,gender,0.9243323442136498,0.8186596583442839,0.8682926829268293,1522
p1,logistic_regression,2,26295,8765,gender,0.9102564102564102,0.8396846254927727,0.8735475051264525,1522
p1,logistic_regression,3,26295,8765,gender,0.9093444909344491,0.8567674113009198,0.8822733423545331,1522
p1,logistic_regression,4,26295,8765,gender,0.9221341023792358,0.8397898883782009,0.8790378006872852,1523
p1,logistic_regression,1,26295,8765,not_cyberbullying,0.6770293609671848,0.6212361331220285,0.6479338842975206,1262
p1,logistic_regression,2,26295,8765,not_cyberbullying,0.6735057983942908,0.5977830562153602,0.6333892617449665,1263
p1,logistic_regression,3,26295,8765,not_cyberbullying,0.7065120428189117,0.6270783847980997,0.6644295302013423,1263
p1,logistic_regression,4,26295,8765,not_cyberbullying,0.6773017319963537,0.5882818685669042,0.6296610169491526,1263
p1,logistic_regression,1,26295,8765,other_cyberbullying,0.6564285714285715,0.760132340777502,0.7044844768110388,1209
p1,logistic_regression,2,26295,8765,other_cyberbullying,0.6483754512635379,0.7427626137303557,0.69236700077101,1209
p1,logistic_regression,3,26295,8765,other_cyberbullying,0.6699101796407185,0.7408940397350994,0.7036163522012578,1208
p1,logistic_regression,4,26295,8765,other_cyberbullying,0.6467153284671533,0.7334437086092715,0.6873545384018619,1208
p1,logistic_regression,1,26295,8765,religion,0.9346764346764347,0.9592731829573935,0.9468150896722325,1596
p1,logistic_regression,2,26295,8765,religion,0.923500611995104,0.9460815047021943,0.9346546918550634,1595
p1,logistic_regression,3,26295,8765,religion,0.9251207729468599,0.9605015673981191,0.9424792371577976,1595
p1,logistic_regression,4,26295,8765,religion,0.9244712990936556,0.9592476489028213,0.9415384615384615,1595
p2,linear_svm,1,26295,8765,age,0.948019801980198,0.9623115577889447,0.9551122194513716,1592
p2,linear_svm,2,26295,8765,age,0.9496004917025199,0.9704773869346733,0.9599254426840633,1592
p2,linear_svm,3,26295,8765,age,0.9537892791127541,0.9717514124293786,0.9626865671641791,1593
p2,linear_svm,4,26295,8765,age,0.9510403916768666,0.9761306532663316,0.9634221946683199,1592
p2,linear_svm,1,26295,8765,ethnicity,0.9699059561128527,0.9766414141414141,0.9732620320855615,1584
p2,linear_svm,2,26295,8765,ethnicity,0.9730576441102757,0.9804292929292929,0.9767295597484277,1584
