representation,model,validation_fold,train_rows,validation_rows,true_label,predicted_label,count
combined,logistic_regression_random_oversampling,1,26295,8765,age,not_cyberbullying,30
combined,logistic_regression_random_oversampling,1,26295,8765,age,other_cyberbullying,12
combined,logistic_regression_random_oversampling,1,26295,8765,age,religion,1
combined,logistic_regression_random_oversampling,1,26295,8765,ethnicity,age,1
combined,logistic_regression_random_oversampling,1,26295,8765,ethnicity,ethnicity,1550
combined,logistic_regression_random_oversampling,1,26295,8765,ethnicity,gender,1
combined,logistic_regression_random_oversampling,1,26295,8765,ethnicity,not_cyberbullying,8
combined,logistic_regression_random_oversampling,1,26295,8765,ethnicity,other_cyberbullying,21
combined,logistic_regression_random_oversampling,1,26295,8765,ethnicity,religion,3
combined,logistic_regression_random_oversampling,1,26295,8765,gender,age,2
combined,logistic_regression_random_oversampling,1,26295,8765,gender,ethnicity,1
combined,logistic_regression_random_oversampling,1,26295,8765,gender,gender,1281
combined,logistic_regression_random_oversampling,1,26295,8765,gender,not_cyberbullying,131
combined,logistic_regression_random_oversampling,1,26295,8765,gender,other_cyberbullying,102
combined,logistic_regression_random_oversampling,1,26295,8765,gender,religion,5
combined,logistic_regression_random_oversampling,1,26295,8765,not_cyberbullying,age,34
combined,logistic_regression_random_oversampling,1,26295,8765,not_cyberbullying,ethnicity,8
combined,logistic_regression_random_oversampling,1,26295,8765,not_cyberbullying,gender,46
combined,logistic_regression_random_oversampling,1,26295,8765,not_cyberbullying,not_cyberbullying,870
combined,logistic_regression_random_oversampling,1,26295,8765,not_cyberbullying,other_cyberbullying,251
combined,logistic_regression_random_oversampling,1,26295,8765,not_cyberbullying,religion,53
combined,logistic_regression_random_oversampling,1,26295,8765,other_cyberbullying,age,12
combined,logistic_regression_random_oversampling,1,26295,8765,other_cyberbullying,ethnicity,6
combined,logistic_regression_random_oversampling,1,26295,8765,other_cyberbullying,gender,36
combined,logistic_regression_random_oversampling,1,26295,8765,other_cyberbullying,not_cyberbullying,196
combined,logistic_regression_random_oversampling,1,26295,8765,other_cyberbullying,other_cyberbullying,958
combined,logistic_regression_random_oversampling,1,26295,8765,other_cyberbullying,religion,1
combined,logistic_regression_random_oversampling,1,26295,8765,religion,age,1
combined,logistic_regression_random_oversampling,1,26295,8765,religion,ethnicity,0
combined,logistic_regression_random_oversampling,1,26295,8765,religion,gender,1
combined,logistic_regression_random_oversampling,1,26295,8765,religion,not_cyberbullying,46
combined,logistic_regression_random_oversampling,1,26295,8765,religion,other_cyberbullying,21
combined,logistic_regression_random_oversampling,1,26295,8765,religion,religion,1527
combined,logistic_regression_random_oversampling,2,26295,8765,age,age,1551
combined,logistic_regression_random_oversampling,2,26295,8765,age,ethnicity,1
combined,logistic_regression_random_oversampling,2,26295,8765,age,gender,2
combined,logistic_regression_random_oversampling,2,26295,8765,age,not_cyberbullying,18
combined,logistic_regression_random_oversampling,2,26295,8765,age,other_cyberbullying,18
combined,logistic_regression_random_oversampling,2,26295,8765,age,religion,2
combined,logistic_regression_random_oversampling,2,26295,8765,ethnicity,age,0
combined,logistic_regression_random_oversampling,2,26295,8765,ethnicity,ethnicity,1558
combined,logistic_regression_random_oversampling,2,26295,8765,ethnicity,gender,2
combined,logistic_regression_random_oversampling,2,26295,8765,ethnicity,not_cyberbullying,11
combined,logistic_regression_random_oversampling,2,26295,8765,ethnicity,other_cyberbullying,11
combined,logistic_regression_random_oversampling,2,26295,8765,ethnicity,religion,2
combined,logistic_regression_random_oversampling,2,26295,8765,gender,age,4
combined,logistic_regression_random_oversampling,2,26295,8765,gender,ethnicity,0
combined,logistic_regression_random_oversampling,2,26295,8765,gender,gender,1295
combined,logistic_regression_random_oversampling,2,26295,8765,gender,not_cyberbullying,103
combined,logistic_regression_random_oversampling,2,26295,8765,gender,other_cyberbullying,112
combined,logistic_regression_random_oversampling,2,26295,8765,gender,religion,8
combined,logistic_regression_random_oversampling,2,26295,8765,not_cyberbullying,age,41
combined,logistic_regression_random_oversampling,2,26295,8765,not_cyberbullying,ethnicity,8
combined,logistic_regression_random_oversampling,2,26295,8765,not_cyberbullying,gender,57
combined,logistic_regression_random_oversampling,2,26295,8765,not_cyberbullying,not_cyberbullying,840
combined,logistic_regression_random_oversampling,2,26295,8765,not_cyberbullying,other_cyberbullying,274
combined,logistic_regression_random_oversampling,2,26295,8765,not_cyberbullying,religion,43
combined,logistic_regression_random_oversampling,2,26295,8765,other_cyberbullying,age,11
combined,logistic_regression_random_oversampling,2,26295,8765,other_cyberbullying,ethnicity,7
combined,logistic_regression_random_oversampling,2,26295,8765,other_cyberbullying,gender,48
combined,logistic_regression_random_oversampling,2,26295,8765,other_cyberbullying,not_cyberbullying,186
combined,logistic_regression_random_oversampling,2,26295,8765,other_cyberbullying,other_cyberbullying,947
combined,logistic_regression_random_oversampling,2,26295,8765,other_cyberbullying,religion,10
combined,logistic_regression_random_oversampling,2,26295,8765,religion,age,0
combined,logistic_regression_random_oversampling,2,26295,8765,religion,ethnicity,1
combined,logistic_regression_random_oversampling,2,26295,8765,religion,gender,3
combined,logistic_regression_random_oversampling,2,26295,8765,religion,not_cyberbullying,68
combined,logistic_regression_random_oversampling,2,26295,8765,religion,other_cyberbullying,22
combined,logistic_regression_random_oversampling,2,26295,8765,religion,religion,1501
combined,logistic_regression_random_oversampling,3,26295,8765,age,age,1563
combined,logistic_regression_random_oversampling,3,26295,8765,age,ethnicity,2
combined,logistic_regression_random_oversampling,3,26295,8765,age,gender,0
combined,logistic_regression_random_oversampling,3,26295,8765,age,not_cyberbullying,15
combined,logistic_regression_random_oversampling,3,26295,8765,age,other_cyberbullying,12
combined,logistic_regression_random_oversampling,3,26295,8765,age,religion,1
combined,logistic_regression_random_oversampling,3,26295,8765,ethnicity,age,3
combined,logistic_regression_random_oversampling,3,26295,8765,ethnicity,ethnicity,1560
combined,logistic_regression_random_oversampling,3,26295,8765,ethnicity,gender,1
combined,logistic_regression_random_oversampling,3,26295,8765,ethnicity,not_cyberbullying,7
combined,logistic_regression_random_oversampling,3,26295,8765,ethnicity,other_cyberbullying,13
combined,logistic_regression_random_oversampling,3,26295,8765,ethnicity,religion,0
combined,logistic_regression_random_oversampling,3,26295,8765,gender,age,1
combined,logistic_regression_random_oversampling,3,26295,8765,gender,ethnicity,5
combined,logistic_regression_random_oversampling,3,26295,8765,gender,gender,1313
