representation,model,validation_fold,train_rows,validation_rows,true_label,predicted_label,count
character,logistic_regression,1,26295,8765,not_cyberbullying,age,40
character,logistic_regression,1,26295,8765,not_cyberbullying,ethnicity,8
character,logistic_regression,1,26295,8765,not_cyberbullying,gender,51
character,logistic_regression,1,26295,8765,not_cyberbullying,not_cyberbullying,855
character,logistic_regression,1,26295,8765,not_cyberbullying,other_cyberbullying,250
character,logistic_regression,1,26295,8765,not_cyberbullying,religion,58
character,logistic_regression,1,26295,8765,other_cyberbullying,age,16
character,logistic_regression,1,26295,8765,other_cyberbullying,ethnicity,7
character,logistic_regression,1,26295,8765,other_cyberbullying,gender,47
character,logistic_regression,1,26295,8765,other_cyberbullying,not_cyberbullying,199
character,logistic_regression,1,26295,8765,other_cyberbullying,other_cyberbullying,935
character,logistic_regression,1,26295,8765,other_cyberbullying,religion,5
character,logistic_regression,1,26295,8765,religion,age,1
character,logistic_regression,1,26295,8765,religion,ethnicity,0
character,logistic_regression,1,26295,8765,religion,gender,3
character,logistic_regression,1,26295,8765,religion,not_cyberbullying,39
character,logistic_regression,1,26295,8765,religion,other_cyberbullying,19
character,logistic_regression,1,26295,8765,religion,religion,1534
character,logistic_regression,2,26295,8765,age,age,1550
character,logistic_regression,2,26295,8765,age,ethnicity,1
character,logistic_regression,2,26295,8765,age,gender,2
character,logistic_regression,2,26295,8765,age,not_cyberbullying,19
character,logistic_regression,2,26295,8765,age,other_cyberbullying,18
character,logistic_regression,2,26295,8765,age,religion,2
character,logistic_regression,2,26295,8765,ethnicity,age,1
character,logistic_regression,2,26295,8765,ethnicity,ethnicity,1554
character,logistic_regression,2,26295,8765,ethnicity,gender,2
character,logistic_regression,2,26295,8765,ethnicity,not_cyberbullying,13
character,logistic_regression,2,26295,8765,ethnicity,other_cyberbullying,11
character,logistic_regression,2,26295,8765,ethnicity,religion,3
character,logistic_regression,2,26295,8765,gender,age,4
character,logistic_regression,2,26295,8765,gender,ethnicity,1
character,logistic_regression,2,26295,8765,gender,gender,1302
character,logistic_regression,2,26295,8765,gender,not_cyberbullying,103
character,logistic_regression,2,26295,8765,gender,other_cyberbullying,103
character,logistic_regression,2,26295,8765,gender,religion,9
character,logistic_regression,2,26295,8765,not_cyberbullying,age,41
character,logistic_regression,2,26295,8765,not_cyberbullying,ethnicity,12
character,logistic_regression,2,26295,8765,not_cyberbullying,gender,59
character,logistic_regression,2,26295,8765,not_cyberbullying,not_cyberbullying,835
character,logistic_regression,2,26295,8765,not_cyberbullying,other_cyberbullying,263
character,logistic_regression,2,26295,8765,not_cyberbullying,religion,53
character,logistic_regression,2,26295,8765,other_cyberbullying,age,11
character,logistic_regression,2,26295,8765,other_cyberbullying,ethnicity,9
character,logistic_regression,2,26295,8765,other_cyberbullying,gender,49
character,logistic_regression,2,26295,8765,other_cyberbullying,not_cyberbullying,186
character,logistic_regression,2,26295,8765,other_cyberbullying,other_cyberbullying,946
character,logistic_regression,2,26295,8765,other_cyberbullying,religion,8
character,logistic_regression,2,26295,8765,religion,age,0
character,logistic_regression,2,26295,8765,religion,ethnicity,1
character,logistic_regression,2,26295,8765,religion,gender,1
character,logistic_regression,2,26295,8765,religion,not_cyberbullying,59
character,logistic_regression,2,26295,8765,religion,other_cyberbullying,28
character,logistic_regression,2,26295,8765,religion,religion,1506
character,logistic_regression,3,26295,8765,age,age,1563
character,logistic_regression,3,26295,8765,age,ethnicity,2
character,logistic_regression,3,26295,8765,age,gender,0
character,logistic_regression,3,26295,8765,age,not_cyberbullying,14
character,logistic_regression,3,26295,8765,age,other_cyberbullying,13
character,logistic_regression,3,26295,8765,age,religion,1
character,logistic_regression,3,26295,8765,ethnicity,age,4
character,logistic_regression,3,26295,8765,ethnicity,ethnicity,1559
character,logistic_regression,3,26295,8765,ethnicity,gender,2
character,logistic_regression,3,26295,8765,ethnicity,not_cyberbullying,8
character,logistic_regression,3,26295,8765,ethnicity,other_cyberbullying,8
character,logistic_regression,3,26295,8765,ethnicity,religion,3
character,logistic_regression,3,26295,8765,gender,age,1
character,logistic_regression,3,26295,8765,gender,ethnicity,4
character,logistic_regression,3,26295,8765,gender,gender,1314
character,logistic_regression,3,26295,8765,gender,not_cyberbullying,118
character,logistic_regression,3,26295,8765,gender,other_cyberbullying,80
character,logistic_regression,3,26295,8765,gender,religion,5
character,logistic_regression,3,26295,8765,not_cyberbullying,age,38
character,logistic_regression,3,26295,8765,not_cyberbullying,ethnicity,10
character,logistic_regression,3,26295,8765,not_cyberbullying,gender,57
character,logistic_regression,3,26295,8765,not_cyberbullying,not_cyberbullying,844
character,logistic_regression,3,26295,8765,not_cyberbullying,other_cyberbullying,270
character,logistic_regression,3,26295,8765,not_cyberbullying,religion,44
character,logistic_regression,3,26295,8765,other_cyberbullying,age,22
character,logistic_regression,3,26295,8765,other_cyberbullying,ethnicity,5
character,logistic_regression,3,26295,8765,other_cyberbullying,gender,56
character,logistic_regression,3,26295,8765,other_cyberbullying,not_cyberbullying,202
character,logistic_regression,3,26295,8765,other_cyberbullying,other_cyberbullying,911
character,logistic_regression,3,26295,8765,other_cyberbullying,religion,12
character,logistic_regression,3,26295,8765,religion,age,2
character,logistic_regression,3,26295,8765,religion,ethnicity,3
character,logistic_regression,3,26295,8765,religion,gender,8
character,logistic_regression,3,26295,8765,religion,not_cyberbullying,28
character,logistic_regression,3,26295,8765,religion,other_cyberbullying,16
character,logistic_regression,3,26295,8765,religion,religion,1538
character,logistic_regression,4,26295,8765,age,age,1572
character,logistic_regression,4,26295,8765,age,ethnicity,0
character,logistic_regression,4,26295,8765,age,gender,1
character,logistic_regression,4,26295,8765,age,not_cyberbullying,7
character,logistic_regression,4,26295,8765,age,other_cyberbullying,12
character,logistic_regression,4,26295,8765,age,religion,0
character,logistic_regression,4,26295,8765,ethnicity,age,2
character,logistic_regression,4,26295,8765,ethnicity,ethnicity,1563
character,logistic_regression,4,26295,8765,ethnicity,gender,0
character,logistic_regression,4,26295,8765,ethnicity,not_cyberbullying,7
character,logistic_regression,4,26295,8765,ethnicity,other_cyberbullying,9
character,logistic_regression,4,26295,8765,ethnicity,religion,3
character,logistic_regression,4,26295,8765,gender,age,5
character,logistic_regression,4,26295,8765,gender,ethnicity,2
character,logistic_regression,4,26295,8765,gender,gender,1295
character,logistic_regression,4,26295,8765,gender,not_cyberbullying,110
character,logistic_regression,4,26295,8765,gender,other_cyberbullying,106
character,logistic_regression,4,26295,8765,gender,religion,5
character,logistic_regression,4,26295,8765,not_cyberbullying,age,47
character,logistic_regression,4,26295,8765,not_cyberbullying,ethnicity,9
character,logistic_regression,4,26295,8765,not_cyberbullying,gender,38
character,logistic_regression,4,26295,8765,not_cyberbullying,not_cyberbullying,815
character,logistic_regression,4,26295,8765,not_cyberbullying,other_cyberbullying,292
character,logistic_regression,4,26295,8765,not_cyberbullying,religion,62
character,logistic_regression,4,26295,8765,other_cyberbullying,age,15
character,logistic_regression,4,26295,8765,other_cyberbullying,ethnicity,6
character,logistic_regression,4,26295,8765,other_cyberbullying,gender,52
character,logistic_regression,4,26295,8765,other_cyberbullying,not_cyberbullying,186
