representation,model,validation_fold,train_rows,validation_rows,label,precision,recall,f1,support
combined,linear_svm,3,26295,8765,not_cyberbullying,0.6965811965811965,0.6452889944576405,0.6699547883271681,1263
combined,linear_svm,4,26295,8765,not_cyberbullying,0.6822916666666666,0.6223277909738717,0.6509316770186335,1263
combined,linear_svm,1,26295,8765,other_cyberbullying,0.713302752293578,0.771712158808933,0.7413587604290822,1209
combined,linear_svm,2,26295,8765,other_cyberbullying,0.6990811638591118,0.7551695616211745,0.7260437375745527,1209
combined,linear_svm,3,26295,8765,other_cyberbullying,0.7093949044585988,0.7375827814569537,0.7232142857142857,1208
combined,linear_svm,4,26295,8765,other_cyberbullying,0.6905487804878049,0.75,0.719047619047619,1208
combined,linear_svm,1,26295,8765,religion,0.9574468085106383,0.9586466165413534,0.9580463368816531,1596
combined,linear_svm,2,26295,8765,religion,0.9595448798988622,0.9517241379310345,0.95561850802644,1595
combined,linear_svm,3,26295,8765,religion,0.9566026038437694,0.967398119122257,0.9619700748129676,1595
combined,linear_svm,4,26295,8765,religion,0.9444787168414559,0.9598746081504702,0.9521144278606966,1595
combined,logistic_regression,1,26295,8765,age,0.9662921348314607,0.9723618090452262,0.9693174702567313,1592
combined,logistic_regression,2,26295,8765,age,0.9628252788104089,0.9761306532663316,0.9694323144104804,1592
combined,logistic_regression,3,26295,8765,age,0.9654107473749228,0.9811676082862524,0.973225404732254,1593
combined,logistic_regression,4,26295,8765,age,0.9568126520681265,0.9880653266331658,0.9721878862793573,1592
combined,logistic_regression,1,26295,8765,ethnicity,0.9891512444160817,0.9785353535353535,0.9838146620120597,1584
combined,logistic_regression,2,26295,8765,ethnicity,0.9860847564832385,0.9842171717171717,0.9851500789889416,1584
combined,logistic_regression,3,26295,8765,ethnicity,0.9861023373341756,0.985479797979798,0.9857909693716451,1584
combined,logistic_regression,4,26295,8765,ethnicity,0.9873577749683944,0.9861111111111112,0.9867340492735313,1584
combined,logistic_regression,1,26295,8765,gender,0.9263759828448892,0.8515111695137977,0.8873673399520712,1522
combined,logistic_regression,2,26295,8765,gender,0.9159074982480728,0.8587385019710907,0.8864021702271957,1522
combined,logistic_regression,3,26295,8765,gender,0.9105191256830601,0.8758212877792378,0.8928332217012726,1522
combined,logistic_regression,4,26295,8765,gender,0.9238975817923186,0.8529218647406435,0.8869921474906112,1523
combined,logistic_regression,1,26295,8765,not_cyberbullying,0.6856455493183641,0.6774960380348652,0.6815464328417696,1262
combined,logistic_regression,2,26295,8765,not_cyberbullying,0.6909090909090909,0.6619160728424386,0.6761019005256773,1263
combined,logistic_regression,3,26295,8765,not_cyberbullying,0.7087214225232854,0.66270783847981,0.6849427168576104,1263
combined,logistic_regression,4,26295,8765,not_cyberbullying,0.7037037037037037,0.6468725257323832,0.6740924092409241,1263
combined,logistic_regression,1,26295,8765,other_cyberbullying,0.7070631970260223,0.7866004962779156,0.7447141738449491,1209
combined,logistic_regression,2,26295,8765,other_cyberbullying,0.6900369003690037,0.7733664185277088,0.7293291731669267,1209
combined,logistic_regression,3,26295,8765,other_cyberbullying,0.7060167555217061,0.7673841059602649,0.7354224514081713,1208
combined,logistic_regression,4,26295,8765,other_cyberbullying,0.6870848708487085,0.7706953642384106,0.7264923917284433,1208
combined,logistic_regression,1,26295,8765,religion,0.956386292834891,0.9617794486215538,0.9590752889721962,1596
combined,logistic_regression,2,26295,8765,religion,0.9550063371356147,0.9448275862068966,0.9498896942956193,1595
combined,logistic_regression,3,26295,8765,religion,0.9607476635514018,0.9667711598746082,0.96375,1595
combined,logistic_regression,4,26295,8765,religion,0.9455782312925171,0.9586206896551724,0.952054794520548,1595
word,linear_svm,1,26295,8765,age,0.9495440729483283,0.9811557788944724,0.9650911337658326,1592
word,linear_svm,2,26295,8765,age,0.9450151057401812,0.9824120603015075,0.9633507853403142,1592
word,linear_svm,3,26295,8765,age,0.9534598897734231,0.9774011299435028,0.9652820830750155,1593
word,linear_svm,4,26295,8765,age,0.9413524835427888,0.9880653266331658,0.9641434262948207,1592
word,linear_svm,1,26295,8765,ethnicity,0.967601246105919,0.9804292929292929,0.9739730322985262,1584
word,linear_svm,2,26295,8765,ethnicity,0.9725,0.9823232323232324,0.9773869346733668,1584
word,linear_svm,3,26295,8765,ethnicity,0.9755944931163955,0.9842171717171717,0.9798868636077939,1584
word,linear_svm,4,26295,8765,ethnicity,0.974422956955708,0.9861111111111112,0.9802321932852213,1584
word,linear_svm,1,26295,8765,gender,0.9125177809388336,0.842969776609724,0.8763661202185792,1522
word,linear_svm,2,26295,8765,gender,0.8988995873452544,0.8587385019710907,0.8783602150537635,1522
word,linear_svm,3,26295,8765,gender,0.8954423592493298,0.8777923784494087,0.8865295288652952,1522
word,linear_svm,4,26295,8765,gender,0.9111888111888112,0.855548260013132,0.8824923806298679,1523
